,Actual Pickup Time,Booking ID,Pickup ID,Dropoff ID,Actual Dropoff Time,Pickup Latitude,Pickup Longitude,Dropoff Latitude,Dropoff Longitude,name,district,Passenger status,Rounded Pickup Time,Pickup Date,Pickup Hour
63,2024-09-02 06:24:00,254288,19,41,2024-09-02 06:33:00,49.033832,11.471982,48.97066,11.475578,"Beilngries, Ringstrasse",Beilngries,Cancelled,2024-09-02 06:00:00,2024-09-02,6
64,2024-09-02 06:56:00,243983,40,0,2024-09-02 07:11:00,48.994215,11.461103,48.992168,11.377365,"Irfersdorf, Am Kirchplatz",Irfersdorf,Cancelled,2024-09-02 06:00:00,2024-09-02,6
65,2024-09-02 06:56:00,254181,0,33,2024-09-02 07:06:00,48.992168,11.377365,49.031608,11.461872,"Kinding, Bahnhof",Kinding,Trip completed,2024-09-02 06:00:00,2024-09-02,6
66,2024-09-02 07:15:00,246892,4,31,2024-09-02 07:26:00,49.000562,11.38279,49.035227,11.467885,"Kinding, Marktplatz",Kinding,Trip completed,2024-09-02 07:00:00,2024-09-02,7
67,2024-09-02 07:27:00,249486,66,19,2024-09-02 07:42:00,49.043035,11.412738,49.033832,11.471982,"Wiesenhofen, Kirche",Litterzhofen,Cancelled,2024-09-02 07:00:00,2024-09-02,7
68,2024-09-02 07:35:00,245187,20,8,2024-09-02 07:50:00,49.032173,11.476295,49.017505,11.404733,"Beilngries, ZOB",Beilngries,Trip completed,2024-09-02 07:00:00,2024-09-02,7
69,2024-09-02 07:40:00,245910,22,0,2024-09-02 07:56:00,49.032928,11.479163,48.992168,11.377365,"Beilngries, Kelheimer Straße",Beilngries,Trip completed,2024-09-02 07:00:00,2024-09-02,7
70,2024-09-02 07:40:00,254267,23,0,2024-09-02 07:56:00,49.030037,11.484332,48.992168,11.377365,"Beilngries, An der Leitn",Beilngries,Trip completed,2024-09-02 07:00:00,2024-09-02,7
71,2024-09-02 08:17:00,254096,25,53,2024-09-02 08:39:00,49.038975,11.480128,48.998413,11.530053,"Beilngries, Ottmaringer Straße",Beilngries,Trip completed,2024-09-02 08:00:00,2024-09-02,8
72,2024-09-02 08:15:00,251701,23,0,2024-09-02 08:31:00,49.030037,11.484332,48.992168,11.377365,"Beilngries, An der Leitn",Beilngries,Cancelled,2024-09-02 08:00:00,2024-09-02,8
